utm_x,utm_y,flag,rddf_num
418439.283885,3867803.254382,1
418439.083396,3867803.300536,1
418438.855414,3867803.335845,1
418438.609368,3867803.393497,1
418438.390518,3867803.428725,1
418438.162635,3867803.475123,1
418437.916490,3867803.521685,1
418437.652182,3867803.579501,1
418437.369611,3867803.637479,1
418437.077910,3867803.695539,1
418436.877420,3867803.741693,1
418436.585719,3867803.799753,1
418436.203002,3867803.891898,1
418435.838351,3867803.961700,1
418435.519652,3867804.064365,1
418435.319559,3867804.154879,1
418435.137827,3867804.256320,1
418434.965425,3867804.379860,1
418434.811582,3867804.536506,1
418434.630841,3867804.748847,1
418434.478187,3867805.038574,1
418434.362156,3867805.339064,1
418434.309945,3867805.627893,1
418434.302993,3867805.871954,1
418434.323335,3867806.104681,1
418434.380499,3867806.370352,1
418434.455530,3867806.591499,1
418434.539988,3867806.845835,1
418434.597153,3867807.111505,1
418434.663448,3867807.377094,1
418434.720612,3867807.642765,1
418434.795940,3867807.897182,1
418434.843676,3867808.129664,1
418434.891214,3867808.339967,1
418434.966541,3867808.594384,1
418435.032440,3867808.815613,1
418435.079978,3867809.025915,1
